Page,Pixels Differ [N],Differing Pixels Proportion,Date,Environment
1,695,8e-05,20230905204435,singularity
2,1037,0.000119,20230905204435,singularity
3,695,8e-05,20230905204435,singularity
4,23348,0.002684,20230905204435,singularity
5,22775,0.002618,20230905204435,singularity
6,695,8e-05,20230905204435,singularity
7,695,8e-05,20230905204435,singularity
8,695,8e-05,20230905204435,singularity
9,695,8e-05,20230905204435,singularity
10,695,8e-05,20230905204435,singularity
11,4269,0.000491,20230905204435,singularity
12,85153,0.009788,20230905204435,singularity
13,530732,0.061005,20230905204435,singularity
14,933079,0.107252,20230905204435,singularity
15,695,8e-05,20230905204435,singularity
16,695,8e-05,20230905204435,singularity
17,23362,0.002685,20230905204435,singularity
18,529862,0.060905,20230905204435,singularity
19,532161,0.061169,20230905204435,singularity
20,910688,0.104679,20230905204435,singularity
21,650193,0.074736,20230905204435,singularity
1,685,7.9e-05,20230920004416,podman
2,1027,0.000118,20230920004416,podman
3,685,7.9e-05,20230920004416,podman
4,7663,0.000881,20230920004416,podman
5,22483,0.002584,20230920004416,podman
6,685,7.9e-05,20230920004416,podman
7,685,7.9e-05,20230920004416,podman
8,685,7.9e-05,20230920004416,podman
9,685,7.9e-05,20230920004416,podman
10,685,7.9e-05,20230920004416,podman
11,4259,0.00049,20230920004416,podman
12,94357,0.010846,20230920004416,podman
13,612555,0.07041,20230920004416,podman
14,898519,0.10328,20230920004416,podman
15,685,7.9e-05,20230920004416,podman
16,685,7.9e-05,20230920004416,podman
17,58106,0.006679,20230920004416,podman
18,547764,0.062963,20230920004416,podman
19,543483,0.06247,20230920004416,podman
20,878267,0.100952,20230920004416,podman
21,655532,0.07535,20230920004416,podman
1,901,0.000104,20230906012936,singularity
2,1243,0.000143,20230906012936,singularity
3,901,0.000104,20230906012936,singularity
4,22654,0.002604,20230906012936,singularity
5,22885,0.002631,20230906012936,singularity
6,901,0.000104,20230906012936,singularity
7,901,0.000104,20230906012936,singularity
8,901,0.000104,20230906012936,singularity
9,901,0.000104,20230906012936,singularity
10,901,0.000104,20230906012936,singularity
11,4475,0.000514,20230906012936,singularity
12,94064,0.010812,20230906012936,singularity
13,606229,0.069683,20230906012936,singularity
14,608228,0.069913,20230906012936,singularity
15,901,0.000104,20230906012936,singularity
16,901,0.000104,20230906012936,singularity
17,58635,0.00674,20230906012936,singularity
18,557003,0.064025,20230906012936,singularity
19,541193,0.062207,20230906012936,singularity
20,867794,0.099748,20230906012936,singularity
21,653043,0.075064,20230906012936,singularity
1,685,7.9e-05,20230920004219,podman
2,1027,0.000118,20230920004219,podman
3,685,7.9e-05,20230920004219,podman
4,32010,0.003679,20230920004219,podman
5,1891,0.000217,20230920004219,podman
6,685,7.9e-05,20230920004219,podman
7,685,7.9e-05,20230920004219,podman
8,685,7.9e-05,20230920004219,podman
9,685,7.9e-05,20230920004219,podman
10,685,7.9e-05,20230920004219,podman
11,4259,0.00049,20230920004219,podman
12,83480,0.009596,20230920004219,podman
13,527330,0.060614,20230920004219,podman
14,889717,0.102268,20230920004219,podman
15,685,7.9e-05,20230920004219,podman
16,685,7.9e-05,20230920004219,podman
17,58301,0.006701,20230920004219,podman
18,540300,0.062105,20230920004219,podman
19,537563,0.06179,20230920004219,podman
20,924606,0.106279,20230920004219,podman
21,460224,0.0529,20230920004219,podman
1,915,0.000105,20230908162849,podman
2,1257,0.000144,20230908162849,podman
3,915,0.000105,20230908162849,podman
4,10230,0.001176,20230908162849,podman
5,10916,0.001255,20230908162849,podman
6,915,0.000105,20230908162849,podman
7,915,0.000105,20230908162849,podman
8,915,0.000105,20230908162849,podman
9,915,0.000105,20230908162849,podman
10,915,0.000105,20230908162849,podman
11,4489,0.000516,20230908162849,podman
12,84631,0.009728,20230908162849,podman
13,521230,0.059913,20230908162849,podman
14,922538,0.106041,20230908162849,podman
15,915,0.000105,20230908162849,podman
16,915,0.000105,20230908162849,podman
17,58743,0.006752,20230908162849,podman
18,534588,0.061448,20230908162849,podman
19,538606,0.06191,20230908162849,podman
20,898888,0.103322,20230908162849,podman
21,653038,0.075063,20230908162849,podman
1,915,0.000105,20230908122618,singularity
2,1257,0.000144,20230908122618,singularity
3,915,0.000105,20230908122618,singularity
4,9982,0.001147,20230908122618,singularity
5,2211,0.000254,20230908122618,singularity
6,915,0.000105,20230908122618,singularity
7,915,0.000105,20230908122618,singularity
8,915,0.000105,20230908122618,singularity
9,915,0.000105,20230908122618,singularity
10,915,0.000105,20230908122618,singularity
11,4489,0.000516,20230908122618,singularity
12,85321,0.009807,20230908122618,singularity
13,636419,0.073153,20230908122618,singularity
14,957585,0.110069,20230908122618,singularity
15,915,0.000105,20230908122618,singularity
16,915,0.000105,20230908122618,singularity
17,58716,0.006749,20230908122618,singularity
18,532279,0.061183,20230908122618,singularity
19,498795,0.057334,20230908122618,singularity
20,928814,0.106762,20230908122618,singularity
21,675041,0.077592,20230908122618,singularity
1,922,0.000106,20230906053037,podman
2,1264,0.000145,20230906053037,podman
3,922,0.000106,20230906053037,podman
4,9519,0.001094,20230906053037,podman
5,11042,0.001269,20230906053037,podman
6,922,0.000106,20230906053037,podman
7,922,0.000106,20230906053037,podman
8,922,0.000106,20230906053037,podman
9,922,0.000106,20230906053037,podman
10,922,0.000106,20230906053037,podman
11,4496,0.000517,20230906053037,podman
12,84952,0.009765,20230906053037,podman
13,525931,0.060453,20230906053037,podman
14,577110,0.066336,20230906053037,podman
15,922,0.000106,20230906053037,podman
16,922,0.000106,20230906053037,podman
17,57308,0.006587,20230906053037,podman
18,533954,0.061375,20230906053037,podman
19,538338,0.061879,20230906053037,podman
20,881736,0.101351,20230906053037,podman
21,461270,0.053021,20230906053037,podman
1,695,8e-05,20230905040926,singularity
2,1037,0.000119,20230905040926,singularity
3,695,8e-05,20230905040926,singularity
4,23348,0.002684,20230905040926,singularity
5,22775,0.002618,20230905040926,singularity
6,695,8e-05,20230905040926,singularity
7,695,8e-05,20230905040926,singularity
8,695,8e-05,20230905040926,singularity
9,695,8e-05,20230905040926,singularity
10,695,8e-05,20230905040926,singularity
11,4269,0.000491,20230905040926,singularity
12,85153,0.009788,20230905040926,singularity
13,530716,0.061003,20230905040926,singularity
14,932609,0.107198,20230905040926,singularity
15,695,8e-05,20230905040926,singularity
16,695,8e-05,20230905040926,singularity
17,23362,0.002685,20230905040926,singularity
18,529851,0.060904,20230905040926,singularity
19,532171,0.06117,20230905040926,singularity
20,910678,0.104678,20230905040926,singularity
21,650193,0.074736,20230905040926,singularity
