onset	duration	frequency	pulse_width	amplitude	out_channel	wavelength	strength	strength_unit
190.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
192.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
194.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
196.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
290.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
292.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
294.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
296.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
390.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
392.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
394.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
396.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
490.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
492.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
494.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
496.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
590.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
592.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
594.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
596.0	0.8	25.0	0.005	1.0	1.0	488.0	30.0	mW
